Date,Open,High,Low,Close,Adj Close,Volume,Return
12/31/2008,83.089996,83.089996,83.089996,83.089996,67.652412,0,
1/1/2009,85.75,86.019997,74.169998,76.099998,61.961079,0,-0.084126091
2/1/2009,76.050003,80.25,67.989998,67.989998,55.357903,0,-0.106569739
3/1/2009,64.830002,76.639999,62.650002,73.440002,59.795303,0,0.080158383
4/1/2009,74.669998,80.529999,74.669998,80.459999,65.972984,0,0.103313817
5/1/2009,80.900002,85.699997,80.900002,84.980003,69.679138,0,0.056176844
6/1/2009,87.169998,87.580002,82.459999,84.720001,69.465935,0,-0.003059782
7/1/2009,85.099998,91.139999,81.080002,91.139999,75.125122,0,0.081467082
8/1/2009,92.540001,95.360001,90.550003,94.419998,77.828781,0,0.035988747
9/1/2009,92.330002,99.239998,92.050003,97.449997,80.326332,0,0.032090327
10/1/2009,94.940002,101.279999,94.519997,95.629997,79.220879,0,-0.013762025
11/1/2009,96.25,102.709999,96.25,101.349998,83.959404,0,0.059814093
12/1/2009,102.580002,104.339996,101.050003,102.669998,85.052887,0,0.013023949
1/1/2010,104.32,105.970001,98.970001,98.970001,82.508896,0,-0.029910695
2/1/2010,100.379997,102.410004,97.449997,102.029999,85.059959,0,0.030918642
3/1/2010,103.059998,108.580002,103.059998,107.730003,89.811897,0,0.055865745
4/1/2010,108.540001,112.220001,108.540001,109.43,91.600189,0,0.019911527
5/1/2010,110.860001,110.860001,98.650002,100.68,84.275879,0,-0.079959551
6/1/2010,98.949997,103.379997,94.910004,94.910004,79.445984,0,-0.057310527
7/1/2010,94.610001,102.760002,94.169998,101.550003,85.438087,0,0.075423611
8/1/2010,103.790001,104.010002,96.709999,96.949997,81.567902,0,-0.045298123
9/1/2010,99.82,105.709999,99.82,105.059998,88.39119,0,0.083651631
10/1/2010,105.519997,109.239998,104.68,109.040001,92.204636,0,0.043142829
11/1/2010,109.139999,113.010002,108.739998,109.040001,92.204636,0,0
12/1/2010,111.410004,116.400002,111.410004,115.82,97.937805,0,0.06217875
1/1/2011,117.129997,119.790001,116.980003,118.550003,100.673553,0,0.027933524
2/1/2011,120.529999,123.989998,120.220001,122.599998,104.112862,0,0.034162984
3/1/2011,120.669998,122.970001,116.209999,122.120003,103.705215,0,-0.003915434
4/1/2011,122.730003,125.720001,120.300003,125.720001,107.213669,0,0.033831028
5/1/2011,125.5,125.5,121.550003,124.279999,105.985641,0,-0.011454025
6/1/2011,121.470001,121.650002,116.800003,121.650002,103.742775,0,-0.02116198
7/1/2011,123.410004,124.720001,119.160004,119.160004,102.078857,0,-0.016038881
8/1/2011,118.660004,118.660004,103.279999,112.669998,96.519173,0,-0.054464599
9/1/2011,111.339996,112.519997,103.970001,104.18,89.246178,0,-0.075352852
10/1/2011,101.220001,118.480003,101.220001,115.550003,99.496902,0,0.114858969
11/1/2011,112.330002,117.75,107.059998,115.279999,99.264397,0,-0.002336806
12/1/2011,115.07,116.629997,111.529999,115.800003,99.712189,0,0.004511104
1/1/2012,117.589996,122.209999,117.589996,120.970001,104.756424,0,0.050587948
2/1/2012,122.07,126.760002,122.07,126.18,109.268112,0,0.043068366
3/1/2012,126.970001,130.479996,124.139999,129.779999,112.385635,0,0.02853095
4/1/2012,130.759995,130.759995,125.269997,128.949997,112.133392,0,-0.002244442
5/1/2012,129.679993,129.679993,119.699997,121.190002,105.385406,0,-0.060178203
6/1/2012,118.209999,125.699997,118.209999,125.550003,109.176788,0,0.035976348
7/1/2012,125.860001,127.879997,123.110001,127.269997,111.22261,0,0.018738617
8/1/2012,126.919998,131.110001,125.980003,130.119995,113.713272,0,0.022393486
9/1/2012,129.970001,135.720001,129.869995,132.830002,116.081589,0,0.020827094
10/1/2012,133.179993,134.830002,130.029999,130.360001,114.474052,0,-0.013848337
11/1/2012,131.789993,131.880005,125.160004,131.089996,115.115074,0,0.005599714
12/1/2012,130.479996,134.100006,129.190002,131.369995,115.360947,0,0.002135889
1/1/2013,134.740005,139.020004,134.300003,138.169998,122.158287,0,0.058922367
2/1/2013,139.559998,141.410004,137.490005,140.020004,123.793907,0,0.01338935
3/1/2013,140.350006,144.649994,140.350006,144.610001,127.85199,0,0.032780959
4/1/2013,143.970001,147.369995,142.179993,147.369995,130.868347,0,0.02359257
5/1/2013,146.009995,154.259995,146.009995,150.800003,133.914276,0,0.023274757
6/1/2013,151.710007,152.889999,144.940002,148.059998,131.481064,0,-0.018169922
7/1/2013,148.869995,156.429993,148.820007,155.570007,138.808167,0,0.055727439
8/1/2013,157.529999,157.789993,150.75,151.039993,134.766251,0,-0.029118719
9/1/2013,151.679993,159.740005,151.679993,155.020004,138.317444,0,0.026350759
10/1/2013,156.270004,163.520004,152.699997,162.130005,145.342224,0,0.050787376
11/1/2013,162.589996,167.169998,161.399994,167.039993,149.74382,0,0.030284358
12/1/2013,166.589996,170.360001,164.360001,170.360001,152.719986,0,0.019875051
1/1/2014,168.880005,170.460007,163.669998,164.449997,148.186752,0,-0.029683305
2/1/2014,160.690002,171.949997,160.690002,171.949997,154.945053,0,0.045606648
3/1/2014,170.690002,173.75,170.419998,172.630005,155.557831,0,0.003954808
4/1/2014,173.860001,174.380005,167.539993,173.880005,157.350723,0,0.011525566
5/1/2014,173.869995,177.940002,172.410004,177.940002,161.024734,0,0.023349184
6/1/2014,178.089996,181.460007,178.029999,180.830002,163.64003,0,0.016241579
7/1/2014,182.070007,183.559998,178.320007,178.320007,162.049118,0,-0.009722022
8/1/2014,177.809998,185.429993,176.479996,185.429993,168.510345,0,0.039872028
9/1/2014,185.330002,186.350006,181.350006,181.990005,165.384247,0,-0.018551371
10/1/2014,179.589996,186.399994,171.979996,186.399994,170.146011,0,0.028792126
11/1/2014,186.380005,191.880005,185.850006,191.399994,174.710022,0,0.026824085
12/1/2014,190.100006,192.789993,182.789993,189.889999,173.331665,0,-0.007889399
1/1/2015,189.850006,190.429993,183.899994,184.169998,169.017563,0,-0.02488929
2/1/2015,186.559998,195.679993,186.559998,194.729996,178.70874,0,0.057338284
3/1/2015,195.929993,195.929993,188.919998,190.710007,175.019531,0,-0.020643697
4/1/2015,189.979996,195.449997,189.979996,192.520004,177.537445,0,0.014386474
5/1/2015,194.619995,197.070007,192.110001,194.970001,179.796753,0,0.012725811
6/1/2015,195.389999,196.470001,189.839996,190.360001,175.545532,0,-0.023644593
7/1/2015,191.729996,196.5,188.949997,194.320007,179.985168,0,0.02529051
8/1/2015,193.779999,194.490005,172.830002,182.580002,169.111221,0,-0.060415795
9/1/2015,177.190002,184.899994,173.589996,177.139999,164.072556,0,-0.029794977
10/1/2015,177.5,193.050003,177.5,192.059998,178.774811,0,0.089608252
11/1/2015,194.330002,194.869995,187.089996,192.610001,179.286789,0,0.002863815
12/1/2015,194.679993,194.679993,184.839996,188.479996,175.442459,0,-0.02144235
1/1/2016,185.639999,186.009995,171.610001,179.100006,167.634277,0,-0.044505658
2/1/2016,179.029999,180.610001,169.089996,178.839996,167.390945,0,-0.001451565
3/1/2016,183.110001,190.369995,183.110001,189.990005,177.827133,0,0.062346192
4/1/2016,191.190002,194.100006,188.449997,190.699997,179.404343,0,0.008869344
5/1/2016,192.190002,194.279999,188.720001,194.100006,182.602951,0,0.017829044
6/1/2016,194.350006,196.25,184.529999,193.669998,182.198441,0,-0.002215243
7/1/2016,194.080002,200.889999,192.759995,200.789993,189.794525,0,0.041691268
8/1/2016,200.529999,202.589996,199.259995,201.050003,190.040298,0,0.001294943
9/1/2016,201.039993,202.520004,196.179993,200.210007,189.246323,0,-0.00417793
10/1/2016,199.580002,199.919998,196.520004,196.539993,186.583725,0,-0.014069483
11/1/2016,195.210007,205.039993,192.860001,203.809998,193.485458,0,0.036990005
12/1/2016,203.100006,210.699997,203.100006,206.570007,196.105637,0,0.013541994
1/1/2017,208.330002,212.240005,208.330002,210.460007,200.99498,0,0.02493219
2/1/2017,210.570007,219.360001,210.570007,218.800003,208.9599,0,0.039627457
3/1/2017,221.830002,221.830002,216.059998,218.050003,208.243622,0,-0.003427825
